,Series,Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Total_Cost,Day_Perc_Change,Trend
0,EQ,HDFCBANK,2017-05-15,1551.65,1550.0,1557.2,1542.25,       1553.00,1553.4,1550.73,701195,1087367599.8,15104,309282,44.11,5,2017,1089236313.0,,Slight or No change
1,EQ,HDFCBANK,2017-05-16,1553.4,1555.0,1562.0,1548.25,       1561.85,1559.65,1555.11,897594,1395856787.25,21073,347734,38.74,5,2017,1399932482.1000001,0.004023432470709354,Slight or No change
2,EQ,HDFCBANK,2017-05-17,1559.65,1558.8,1565.4,1551.5,       1557.50,1557.15,1557.51,868118,1352102516.9,32732,367931,42.38,5,2017,1351789943.7,-0.001602923732888839,Slight or No change
3,EQ,HDFCBANK,2017-05-18,1557.15,1549.0,1561.5,1548.1,       1557.50,1557.1,1556.99,776820,1209499656.15,13648,518101,66.7,5,2017,1209586422.0,-3.2109944449909555e-05,Slight or No change
4,EQ,HDFCBANK,2017-05-19,1557.1,1559.5,1569.9,1545.25,       1568.05,1561.25,1556.93,713534,1110925609.25,18458,296680,41.58,5,2017,1114004957.5,0.0026652109691092107,Slight or No change
5,EQ,HDFCBANK,2017-05-22,1561.25,1565.1,1580.0,1563.1,       1579.00,1576.0,1572.46,715013,1124331912.15,24974,413491,57.83,5,2017,1126860488.0,0.009447558046437043,Slight or No change
6,EQ,HDFCBANK,2017-05-23,1576.0,1580.0,1583.55,1565.0,       1569.00,1569.1,1575.09,770043,1212889747.95,17873,489628,63.58,5,2017,1208274471.3,-0.004378172588832552,Slight or No change
7,EQ,HDFCBANK,2017-05-24,1569.1,1569.05,1575.45,1562.0,       1567.00,1566.75,1566.76,866847,1358143699.6,34901,615909,71.05,5,2017,1358132537.25,-0.0014976738257599376,Slight or No change
8,EQ,HDFCBANK,2017-05-25,1566.75,1567.1,1629.4,1567.1,       1613.25,1617.15,1605.26,5022701,8062757340.0,60075,3585041,71.38,5,2017,8122460922.150001,0.03216850167544294,Slight or No change
9,EQ,HDFCBANK,2017-05-26,1617.15,1606.65,1632.0,1601.1,       1623.00,1626.0,1617.56,1360789,2201159155.0,31085,754482,55.44,5,2017,2212642914.0,0.005472590668769151,Slight or No change
10,EQ,HDFCBANK,2017-05-29,1626.0,1619.8,1648.0,1617.65,       1626.65,1631.9,1634.94,1479085,2418209870.85,48257,924191,62.48,5,2017,2413718811.5,0.003628536285362971,Slight or No change
11,EQ,HDFCBANK,2017-05-30,1631.9,1630.0,1633.5,1616.15,       1631.40,1629.05,1622.75,1108546,1798890005.0,26377,592343,53.43,5,2017,1805876861.3,-0.0017464305410871406,Slight or No change
12,EQ,HDFCBANK,2017-05-31,1629.05,1625.0,1643.0,1623.15,       1640.00,1636.2,1631.48,1329728,2169429926.8,18717,926698,69.69,5,2017,2175700953.6,0.004389061109235426,Slight or No change
13,EQ,HDFCBANK,2017-06-01,1636.2,1639.0,1639.85,1620.55,       1627.00,1628.6,1630.91,839885,1369779680.1,21114,481729,57.36,6,2017,1367836711.0,-0.004644908935338088,Slight or No change
14,EQ,HDFCBANK,2017-06-02,1628.6,1634.0,1646.1,1626.2,       1631.85,1634.25,1636.04,803386,1314369622.75,17867,390838,48.65,6,2017,1312933570.5,0.003469237381800383,Slight or No change
15,EQ,HDFCBANK,2017-06-05,1634.25,1633.7,1638.95,1625.0,       1638.50,1635.55,1633.27,724975,1184083532.85,14700,327218,45.14,6,2017,1185732861.25,0.000795471929019298,Slight or No change
16,EQ,HDFCBANK,2017-06-06,1635.55,1635.0,1643.8,1630.0,       1639.00,1638.95,1638.5,1250658,2049200642.3,14396,921531,73.68,6,2017,2049765929.1000001,0.0020788114090062315,Slight or No change
17,EQ,HDFCBANK,2017-06-07,1638.95,1640.4,1644.9,1630.35,       1641.30,1640.8,1638.26,638569,1046138986.8,28344,447948,70.15,6,2017,1047764015.1999999,0.00112877146953827,Slight or No change
18,EQ,HDFCBANK,2017-06-08,1640.8,1643.9,1659.4,1641.65,       1643.60,1644.75,1648.3,1062192,1750808057.65,25728,582580,54.85,6,2017,1747040292.0,0.0024073622623110857,Slight or No change
19,EQ,HDFCBANK,2017-06-09,1644.75,1640.1,1670.0,1640.1,       1669.90,1666.8,1660.39,1326318,2202209561.65,41645,878389,66.23,6,2017,2210706842.4,0.013406292749657878,Slight or No change
20,EQ,HDFCBANK,2017-06-12,1666.8,1664.0,1676.0,1660.0,       1666.00,1668.75,1666.54,992853,1654628890.15,40006,658975,66.37,6,2017,1656823443.75,0.0011699064074874865,Slight or No change
21,EQ,HDFCBANK,2017-06-13,1668.75,1661.75,1691.9,1661.0,       1674.00,1676.7,1680.14,1262905,2121860290.15,37080,831771,65.86,6,2017,2117512813.5,0.0047640449438202115,Slight or No change
22,EQ,HDFCBANK,2017-06-14,1676.7,1675.0,1679.95,1667.0,       1672.85,1671.2,1672.03,964590,1612824040.55,27840,714323,74.05,6,2017,1612022808.0,-0.003280252877676415,Slight or No change
23,EQ,HDFCBANK,2017-06-15,1671.2,1668.0,1675.6,1653.6,       1665.00,1664.35,1662.08,881673,1465414452.25,17284,530656,60.19,6,2017,1467412457.55,-0.004098851124940239,Slight or No change
24,EQ,HDFCBANK,2017-06-16,1664.35,1665.0,1674.7,1658.1,       1667.00,1669.25,1665.86,938776,1563872404.55,18765,583858,62.19,6,2017,1567051838.0,0.002944092288280853,Slight or No change
25,EQ,HDFCBANK,2017-06-19,1669.25,1671.0,1696.0,1668.4,       1690.70,1692.9,1683.38,956383,1609958237.65,26370,581131,60.76,6,2017,1619060780.7,0.01416803953871515,Slight or No change
26,EQ,HDFCBANK,2017-06-20,1692.9,1690.0,1694.0,1679.85,       1681.55,1686.55,1686.31,915066,1543084685.5,22817,675274,73.8,6,2017,1543304562.3,-0.003750959891310801,Slight or No change
27,EQ,HDFCBANK,2017-06-21,1686.55,1682.6,1701.25,1679.6,       1696.90,1698.7,1692.56,852733,1443298486.5,13383,435777,51.1,6,2017,1448537547.1000001,0.007204055616495175,Slight or No change
28,EQ,HDFCBANK,2017-06-22,1698.7,1694.95,1716.0,1691.2,       1699.00,1698.0,1705.36,1668865,2846016910.1,47395,870934,52.19,6,2017,2833732770.0,-0.00041207982574908986,Slight or No change
29,EQ,HDFCBANK,2017-06-23,1698.0,1702.0,1702.75,1675.2,       1681.10,1678.65,1684.39,1304367,2197062163.5,40032,835308,64.04,6,2017,2189575664.55,-0.011395759717314435,Slight or No change
30,EQ,HDFCBANK,2017-06-27,1678.65,1689.0,1695.0,1656.25,       1667.55,1667.65,1673.41,1500108,2510290432.5,41978,966813,64.45,6,2017,2501655106.2000003,-0.006552884758585731,Slight or No change
31,EQ,HDFCBANK,2017-06-28,1667.65,1665.0,1675.0,1657.8,       1666.50,1666.45,1666.08,1112259,1853114829.75,33276,759351,68.27,6,2017,1853524010.55,-0.0007195754504842888,Slight or No change
32,EQ,HDFCBANK,2017-06-29,1666.45,1667.0,1681.9,1651.1,       1655.00,1663.05,1666.21,2296927,3827159036.6,41505,1515335,65.97,6,2017,3819904447.35,-0.0020402652344805317,Slight or No change
33,EQ,HDFCBANK,2017-06-30,1663.05,1653.8,1660.0,1643.0,       1654.85,1652.05,1654.33,1082608,1790989876.0,20154,686217,63.39,6,2017,1788522546.3999999,-0.006614353146327523,Slight or No change
34,EQ,HDFCBANK,2017-07-03,1652.05,1652.6,1667.5,1647.25,       1660.00,1658.6,1658.07,876083,1452603241.7,29692,555332,63.39,7,2017,1453071263.8,0.003964771042038739,Slight or No change
35,EQ,HDFCBANK,2017-07-04,1658.6,1660.25,1666.7,1652.0,       1653.00,1653.35,1656.45,941520,1559578817.2,29651,629966,66.91,7,2017,1556662092.0,-0.0031653201495236427,Slight or No change
