,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,upper_band,lower_band,avg,jet_sd
0,JETAIRWAYS,EQ,15-May-2017,519.45,520.0,533.4,517.1,527.8,527.5,526.08,1837033,966429811.4,25433,430754,23.45,,,,
1,JETAIRWAYS,EQ,16-May-2017,527.5,527.0,536.5,524.65,534.0,534.15,531.79,1382182,735036275.45,23991,284837,20.61,,,,
2,JETAIRWAYS,EQ,17-May-2017,534.15,532.0,534.75,526.2,530.0,528.9,529.75,690466,365774206.0,10219,53551,7.76,,,,
3,JETAIRWAYS,EQ,18-May-2017,528.9,525.15,538.6,517.5,517.7,522.7,529.55,1701102,900810165.8,25651,309608,18.2,,,,
4,JETAIRWAYS,EQ,19-May-2017,522.7,525.6,532.9,517.45,521.0,520.4,524.69,1272799,667824672.75,20409,257037,20.19,,,,
5,JETAIRWAYS,EQ,22-May-2017,520.4,521.7,525.15,469.0,479.5,475.65,491.44,3217513,1581202627.25,46980,659957,20.51,,,,
6,JETAIRWAYS,EQ,23-May-2017,475.65,485.0,489.0,465.3,471.9,472.85,477.05,2924779,1395251624.6,38240,255332,8.73,,,,
7,JETAIRWAYS,EQ,24-May-2017,472.85,473.3,479.9,458.0,466.0,464.8,468.39,2343019,1097440973.45,37266,402723,17.19,,,,
8,JETAIRWAYS,EQ,25-May-2017,464.8,468.1,473.3,459.9,469.7,468.95,467.5,1917412,896385540.8,25019,435427,22.71,,,,
9,JETAIRWAYS,EQ,26-May-2017,468.95,477.7,491.75,475.1,483.75,483.4,484.19,2668448,1292044525.35,29370,350943,13.15,,,,
10,JETAIRWAYS,EQ,29-May-2017,483.4,481.7,485.35,470.0,476.3,474.6,477.85,949984,453951592.6,12123,111663,11.75,,,,
11,JETAIRWAYS,EQ,30-May-2017,474.6,471.0,475.05,454.5,458.0,459.65,463.0,1804222,835362146.05,23946,259546,14.39,,,,
12,JETAIRWAYS,EQ,31-May-2017,459.65,439.0,482.0,438.25,478.65,477.9,466.81,8231445,3842523967.95,95239,490441,5.96,,,,
13,JETAIRWAYS,EQ,01-Jun-2017,477.9,481.0,487.5,467.55,485.0,484.5,477.04,2948808,1406713262.5,41770,433395,14.7,547.2740880795311,437.8616262061831,492.5678571428571,27.353115468337013
14,JETAIRWAYS,EQ,02-Jun-2017,484.5,485.0,489.75,478.8,483.8,484.85,484.38,1484965,719287679.35,19135,127407,8.58,540.4690293194327,438.5738278234245,489.5214285714286,25.473800374002067
15,JETAIRWAYS,EQ,05-Jun-2017,484.85,482.0,500.5,479.0,499.85,497.15,490.69,2013452,987985368.7,25179,259591,12.89,531.2704922854418,442.48665057170103,486.87857142857143,22.195960428435207
16,JETAIRWAYS,EQ,06-Jun-2017,497.15,502.5,508.0,493.2,497.7,497.2,500.25,2998048,1499783791.95,37769,239330,7.98,522.5354271400522,446.69314428851936,484.61428571428576,18.960570712883207
17,JETAIRWAYS,EQ,07-Jun-2017,497.2,500.8,515.4,496.0,514.55,509.1,504.11,1886376,950943309.55,24059,376830,19.98,517.8789572339973,449.4067570517172,483.6428571428572,17.11805004557002
18,JETAIRWAYS,EQ,08-Jun-2017,509.1,524.0,527.0,516.0,520.0,519.8,521.62,3777232,1970264565.7,46564,326511,8.64,517.6388239876402,449.5611760123599,483.6000000000001,17.019411993820082
19,JETAIRWAYS,EQ,09-Jun-2017,519.8,520.9,530.5,514.55,528.7,527.95,523.3,2236841,1170539767.7,30138,285844,12.78,528.3757590557349,446.29566951569393,487.3357142857144,20.520022385010243
20,JETAIRWAYS,EQ,12-Jun-2017,527.95,524.0,538.6,524.0,534.8,534.8,533.72,2316549,1236378972.35,38546,322264,13.91,538.9683436979745,444.5530848734543,491.7607142857144,23.603814706130063
21,JETAIRWAYS,EQ,13-Jun-2017,534.8,535.1,539.95,528.3,529.1,530.3,534.91,1802366,964101900.45,23646,270187,14.99,545.0974999559411,447.7810714726305,496.4392857142858,24.329107120827647
22,JETAIRWAYS,EQ,14-Jun-2017,530.3,530.2,536.7,525.3,532.9,532.85,530.73,1522657,808124152.5,18512,299241,19.65,550.5342684260393,451.47287443110383,501.00357142857155,24.765348498733864
23,JETAIRWAYS,EQ,15-Jun-2017,532.85,536.8,547.0,532.95,533.5,534.3,540.32,2706366,1462299671.85,31823,270436,9.99,556.0408747135413,453.23769671503055,504.6392857142859,25.700794499627662
24,JETAIRWAYS,EQ,16-Jun-2017,534.3,539.45,545.4,536.2,540.0,540.65,541.06,1770157,957756585.4,24938,216143,12.21,561.0059548494802,457.7083308648058,509.357142857143,25.824405996168608
25,JETAIRWAYS,EQ,19-Jun-2017,540.65,542.0,549.4,541.0,545.7,545.0,545.97,1457930,795983986.3,19677,190677,13.08,561.6936882817265,469.2134545754166,515.4535714285715,23.120058426577465
26,JETAIRWAYS,EQ,20-Jun-2017,545.0,548.2,555.8,545.5,549.0,549.35,550.41,1958913,1078209278.85,24094,239044,12.2,564.6655034311599,476.4487822831262,520.557142857143,22.054180287008435
27,JETAIRWAYS,EQ,21-Jun-2017,549.35,556.0,571.8,553.15,567.0,565.65,564.95,4328418,2445354647.5,50121,618828,14.3,571.36945690309,481.33768595405314,526.3535714285716,22.50794273725923
28,JETAIRWAYS,EQ,22-Jun-2017,565.65,570.8,576.0,565.55,568.0,568.45,572.28,2207590,1263366680.35,35713,290296,13.15,575.7770026979375,488.8729973020628,532.3250000000002,21.726001348968687
29,JETAIRWAYS,EQ,23-Jun-2017,568.45,572.0,572.85,549.5,559.95,558.55,560.09,1972589,1104819779.65,25870,212648,10.78,577.1598690467122,496.26155952471686,536.7107142857145,20.224577380498836
30,JETAIRWAYS,EQ,27-Jun-2017,558.55,560.0,562.45,547.65,553.2,552.3,553.03,970063,536471328.9,13910,138865,14.32,574.7616510768358,506.5312060660218,540.6464285714288,17.057611252703506
31,JETAIRWAYS,EQ,28-Jun-2017,552.3,549.3,572.5,544.4,571.8,569.35,561.02,2742480,1538596694.75,34619,454812,16.58,577.0648659561994,512.835134043801,544.9500000000002,16.05743297809957
32,JETAIRWAYS,EQ,29-Jun-2017,569.35,573.05,577.85,566.2,568.8,569.4,571.15,1981170,1131536128.0,25918,216605,10.93,579.5832429222605,517.4024713634542,548.4928571428574,15.545192889701559
33,JETAIRWAYS,EQ,30-Jun-2017,569.4,566.4,567.0,552.4,562.05,564.05,560.25,1459570,817720467.3,16370,132403,9.07,580.7798504357817,521.3630067070759,551.0714285714288,14.854210932176423
34,JETAIRWAYS,EQ,03-Jul-2017,564.05,566.0,589.2,553.15,583.45,582.9,571.54,2780579,1589224927.9,31802,220889,7.94,587.0952921222902,521.918993591996,554.5071428571431,16.294074632573523
35,JETAIRWAYS,EQ,04-Jul-2017,582.9,585.05,588.0,573.65,576.5,577.5,580.48,2228908,1293826859.4,27053,165896,7.44,589.4283541728129,526.3287886843303,557.8785714285716,15.774891372120646
36,JETAIRWAYS,EQ,05-Jul-2017,577.5,578.9,584.0,571.1,582.0,582.05,577.53,1548300,894189931.55,18279,117603,7.6,591.8758374419048,530.9098768438097,561.3928571428572,15.241490149523795
37,JETAIRWAYS,EQ,06-Jul-2017,582.05,583.0,596.7,581.0,592.45,591.95,590.35,2659254,1569879031.55,33873,307849,11.58,595.8029366581943,535.2184919132346,565.5107142857145,15.146111186239935
38,JETAIRWAYS,EQ,07-Jul-2017,591.95,594.3,598.0,585.35,588.8,590.7,590.87,1622824,958878955.85,20345,178970,11.03,598.541167707174,539.630260864255,569.0857142857145,14.727726710729758
39,JETAIRWAYS,EQ,10-Jul-2017,590.7,602.0,607.7,589.05,607.0,605.95,601.94,835908,503170520.6,10121,120619,14.43,605.464664558414,541.4139068701578,573.4392857142859,16.012689422064035
40,JETAIRWAYS,EQ,11-Jul-2017,605.95,615.45,624.0,603.0,604.6,605.1,614.39,3299965,2027475871.75,43606,294094,8.91,610.3940679115693,544.4487892312883,577.4214285714288,16.48631967007025
41,JETAIRWAYS,EQ,12-Jul-2017,605.1,605.1,611.95,596.2,608.15,609.7,605.46,1728744,1046678881.2,25516,161963,9.37,616.934041924938,544.2016723607768,580.5678571428574,18.183092391040304
42,JETAIRWAYS,EQ,13-Jul-2017,609.7,611.0,617.75,606.7,615.1,614.75,611.88,1540588,942648842.45,21265,262288,17.03,623.7462495222009,544.0037504777998,583.8750000000003,19.935624761100243
43,JETAIRWAYS,EQ,14-Jul-2017,614.75,617.5,621.8,607.1,616.5,617.05,614.74,1492805,917688175.0,20390,164157,11.0,628.7451215679716,547.3620212891719,588.0535714285718,20.345775069699904
44,JETAIRWAYS,EQ,17-Jul-2017,617.05,616.5,621.95,608.0,608.95,611.4,616.52,1263636,779052534.15,17892,208934,16.53,629.0638308719256,555.4861691280753,592.2750000000004,18.39441543596258
45,JETAIRWAYS,EQ,18-Jul-2017,611.4,607.0,615.9,603.3,606.0,605.35,609.38,1164357,709539353.05,14460,96323,8.27,629.7151375829754,559.9777195598825,594.846428571429,17.434354505773246
46,JETAIRWAYS,EQ,19-Jul-2017,605.35,609.35,613.95,605.1,609.25,609.7,609.24,816229,497280600.65,11584,102268,12.53,630.1098908265293,565.3401091734717,597.7250000000005,16.19244541326441
47,JETAIRWAYS,EQ,20-Jul-2017,609.7,608.9,609.0,590.3,590.8,591.9,598.27,1186503,709843841.8,17073,210507,17.74,626.0439247188364,573.3846467097361,599.7142857142862,13.16481950227508
48,JETAIRWAYS,EQ,21-Jul-2017,591.9,590.0,601.9,580.0,592.8,597.15,589.87,1459221,860754385.3,23258,152708,10.47,625.3048796930034,576.1594060212833,600.7321428571433,12.28636841793004
49,JETAIRWAYS,EQ,24-Jul-2017,597.15,590.0,605.8,590.0,597.55,598.55,599.67,1177712,706238996.45,17612,114029,9.68,622.9594809678251,581.5119476036043,602.2357142857147,10.361883341055181
50,JETAIRWAYS,EQ,25-Jul-2017,598.55,599.8,601.0,584.0,586.25,587.4,592.64,1076403,637915821.4,16736,201189,18.69,621.8842730062148,583.3514412795004,602.6178571428576,9.63320793167861
